Item Name,Item Price
Veg Manchow Soup,Rs.100
Veg Hot And Sour Soup,Rs.100
Chicken Manchow Soup,Rs.100
Chicken Royal Soup,Rs.100
Veg Royal Soup,Rs.100
Paneer Crispy,Rs.110
Chicken Lollipop Dry,Rs.130
Chicken 65,Rs.140
Paneer Chilli,Rs.200
Chicken Chilli,Rs.210
Tawa Chicken,Rs.200
Chicken Schezwan Chilli,Rs.210
Soybean Chilli,Rs.180
Veg Manchurian Gravy,Rs.110
Soyabean Chilli Gravy,Rs.120
Chicken Lollipop Gravy,Rs.140
Jeera Rice,Rs.80
Veg Fried Hakka Noodles,Rs.80
Veg Schezwan Fried Hakka Noodles,Rs.90
Veg Hong Kong Hakka Noodles,Rs.90
Veg Singapore Hakka Noodles,Rs.90
Veg Green Chilli Hakka Noodles,Rs.90
Veg Combination Hakka Noodles,Rs.90
Veg Lemon Hakka Noodles,Rs.90
Veg Hakka Triple Noodles,Rs.110
Egg Fried Hakka Noodles,Rs.90
Chicken Fried Hakka Noodles,Rs.90
Chicken Schezwan Fried Hakka Noodles,Rs.100
Chicken Hong Kong Hakka Noodles,Rs.100
Chicken Singapore Hakka Noodles,Rs.100
Chicken Green Chilli Hakka Noodles,Rs.100
Chicken Combination Hakka Noodles,Rs.100
Chicken Lemon Hakka Noodles,Rs.100
Chicken Triple Hakka Noodles,Rs.120
Veg Fried Rice,Rs.80
Veg Schezwan Fried Rice,Rs.90
Veg Hong Kong Fried Rice,Rs.90
Veg Singapore Fried Rice,Rs.90
Veg Green Chilli Fried Rice,Rs.90
Veg Combination Fried Rice,Rs.90
Veg Lemon Fried Rice,Rs.90
Veg Triple Fried Rice,Rs.110
Dragon Fried Rice,Rs.120
99 Fried Rice,Rs.140
Special Fast Fried Rice,Rs.140
Egg Fried Rice,Rs.90
Chicken Fried Rice,Rs.90
Chicken Schezwan Fried Rice,Rs.100
Chicken Hong Kong Fried Rice,Rs.100
Chicken Singapore Fried Rice,Rs.100
Chicken Green Chilli Fried Rice,Rs.100
Chicken Combination Fried Rice,Rs.100
Chicken Lemon Fried Rice,Rs.100
Chicken Triple Fried Rice,Rs.120
Veg Chinese Bhel,Rs.80
Chicken Chinese Bhel,Rs.90
Item Name,Item Price
Veg Manchow Soup,Rs.100
Chicken Manchow Soup,Rs.120
Veg Hot And Sour Soup,Rs.110
Veg Clear Soup,Rs.120
Garlic Soup,Rs.130
Veg Schezwan Soup,Rs.140
Tomato Soup,Rs.150
Veg Noodles Soup,Rs.150
Egg Manchow Soup,Rs.110
Egg Schezwan Soup,Rs.120
Egg Special Soup,Rs.130
Egg Noodles Soup,Rs.150
Chicken Hot Sour Soup,Rs.130
Chicken Clear Soup,Rs.140
Chicken Schezwan Soup,Rs.150
Chicken Coriander Soup,Rs.160
Special Chicken Soup,Rs.200
Chicken Tomato Soup,Rs.150
Chicken Royal Soup,Rs.160
Chicken Noodles Soup,Rs.160
Chicken Chilli Dry,Rs.200
Chicken Crispy,Rs.210
Chicken Fry Lollipop [6 Pieces],Rs.210
Rare Chicken Special Junglee,Rs.250
Rare Chicken Kaju Dry Special,Rs.260
Chicken Manchurian Dry,Rs.230
Chicken 65,Rs.210
Chicken 95,Rs.210
Chicken Pepper Dry,Rs.210
Chicken Garlic,Rs.210
Chicken Schezwan Chilli,Rs.230
Lemon Chicken,Rs.220
Chicken Masala Lollipop [8 Pieces],Rs.230
Chicken Gravy Lollipop [8 Pieces],Rs.250
Chicken Butter Garlic,Rs.250
Rare Chicken Chanchal Special,Rs.250
Rare Chicken Special Black Queen,Rs.250
Rare Chicken Special Black King,Rs.250
Rare Chicken Special Teriyaki,Rs.260
Veg Chilli Dry,Rs.180
Veg Manchurian Dry,Rs.180
Veg Crispy,Rs.200
Veg Lollipop,Rs.180
Gobi Manchurian Dry,Rs.200
Mushroom Chilli,Rs.250
Baby Corn Chilli,Rs.250
Veg Green Chilli,Rs.250
